show_id,type,title,director,country,date_added,release_year,rating,duration,listed_in
s5505,Movie,Kiss & Cry,Sean Cisterna,Canada,5/1/2017,2017,TV-MA,93 min,"Dramas, International Movies, Romantic Movies"
s6264,TV Show,Beating Again,Not Given,South Korea,5/22/2017,2015,TV-14,1 Season,"International TV Shows, Korean TV Shows, Romantic TV Shows"
s1463,TV Show,Running Man,Not Given,Pakistan,1/1/2021,2020,TV-Y7,1 Season,"Kids' TV, TV Comedies"
s6741,Movie,Farce,Shadi Ali,Egypt,6/6/2019,2017,TV-MA,94 min,"Comedies, International Movies"
s2758,Movie,Pretty Little Stalker,Sam Irvin,United States,3/31/2020,2018,TV-14,84 min,Thrillers
s4877,Movie,Dany Boon: Des Hauts De France,Isabelle Nanty,France,5/4/2018,2018,TV-MA,113 min,Stand-Up Comedy
s1091,Movie,Story of Kale: When Someone's in Love,Angga Dwimas Sasongko,Indonesia,4/8/2021,2020,TV-PG,78 min,"Dramas, International Movies, Romantic Movies"
s6207,Movie,Bachelor Girls,Shikha Makan,India,3/1/2018,2016,TV-MA,61 min,"Documentaries, International Movies"
s7139,Movie,John Mellencamp: Plain Spoken,Not Given,Pakistan,2/1/2018,2017,TV-MA,80 min,"Documentaries, Music & Musicals"
s3964,Movie,Bayonet,Kyzza Terrazas,Mexico,3/29/2019,2019,TV-MA,102 min,"Dramas, International Movies, Sports Movies"
s1054,Movie,Time Is Illmatic,One9,United States,4/15/2021,2014,TV-MA,75 min,"Documentaries, Music & Musicals"
s3474,TV Show,The K2,Not Given,South Korea,10/1/2019,2016,TV-14,1 Season,"International TV Shows, Korean TV Shows, Romantic TV Shows"
s639,TV Show,Sex/Life,Not Given,United States,6/25/2021,2021,TV-MA,1 Season,"Romantic TV Shows, TV Dramas"
s1719,TV Show,Trial 4,Not Given,United States,11/11/2020,2020,TV-MA,1 Season,"Crime TV Shows, Docuseries"
s736,Movie,Sarbath,Prabhakaran,India,6/11/2021,2021,TV-PG,113 min,"Comedies, Dramas, International Movies"
s2225,Movie,Funan,Denis Do,France,7/18/2020,2018,TV-14,87 min,"Dramas, International Movies"
s2857,Movie,Bhangra Paa Le,Sneha Taurani,India,3/1/2020,2019,TV-14,130 min,"Comedies, Dramas, International Movies"
s3913,Movie,Generation Iron 3,Vlad Yudin,United States,4/15/2019,2018,TV-MA,95 min,"Documentaries, Sports Movies"
s1102,Movie,Escape from Planet Earth,Cal Brunker,United States,4/3/2021,2013,PG,89 min,"Children & Family Movies, Comedies, Sci-Fi & Fantasy"
s1060,TV Show,House of Cards,Not Given,United States,4/14/2021,2018,TV-MA,6 Seasons,"TV Dramas, TV Thrillers"
s7895,Movie,Rosemary's Baby,Roman Polanski,United States,11/1/2019,1968,R,137 min,"Classic Movies, Horror Movies, Thrillers"
s6269,Movie,Because of Soccer,"Agasyah Karim, Khalid Kashogi",Indonesia,12/8/2018,2008,TV-14,75 min,"Comedies, Dramas, International Movies"
s8761,Movie,Would You Rather,David Guy Levy,United States,6/5/2019,2013,TV-MA,93 min,"Horror Movies, Independent Movies, Thrillers"
s6210,Movie,Backfire,Dave Patten,United States,4/5/2019,2019,TV-MA,97 min,"Dramas, Independent Movies, Thrillers"
s8152,Movie,Tarzan,"Chris Buck, Kevin Lima",United States,6/23/2018,1999,G,89 min,Children & Family Movies
s8094,TV Show,Stoked,Not Given,United States,12/16/2017,2010,TV-PG,1 Season,Kids' TV
s1618,Movie,Natalie Palamides: Nate - A One Man Show,Phil Burgers,United States,12/1/2020,2020,TV-MA,60 min,Comedies
s5901,TV Show,Wet Hot American Summer,Not Given,United States,7/31/2015,2015,TV-MA,1 Season,TV Comedies
s74,Movie,King of Boys,Kemi Adetiba,Nigeria,9/14/2021,2018,TV-MA,182 min,"Dramas, International Movies"
s6597,Movie,Detention Letter,Mohamed Samy,Egypt,8/5/2019,2017,TV-14,99 min,"Action & Adventure, International Movies"
s1493,TV Show,Bridgerton,Not Given,United States,12/25/2020,2020,TV-MA,1 Season,"Romantic TV Shows, TV Dramas"
s977,Movie,Among Family,Ozan Açıktan,Turkey,4/23/2021,2017,TV-14,127 min,"Comedies, International Movies"
s4411,TV Show,Damnation,Not Given,United States,11/7/2018,2017,TV-MA,1 Season,"Crime TV Shows, TV Dramas"
s7046,Movie,I Dream Of Dance,Maria Demeshkina Peek,Not Given,1/31/2019,2017,TV-14,106 min,"Children & Family Movies, Documentaries"
s2628,TV Show,"Coronavirus, Explained",Not Given,United States,4/26/2020,2020,TV-PG,1 Season,"Docuseries, Science & Nature TV"
s1658,Movie,Notes for My Son,Carlos Sorín,Argentina,11/24/2020,2020,TV-MA,84 min,"Dramas, International Movies"
s1402,TV Show,Carmen Sandiego,Not Given,United States,1/15/2021,2021,TV-Y7,4 Seasons,"Kids' TV, TV Thrillers"
s8767,Movie,XXx,Rob Cohen,United States,1/1/2019,2002,PG-13,124 min,"Action & Adventure, Sports Movies"
s3347,Movie,The House of Flowers Presents: The Funeral,Manolo Caro,Mexico,11/1/2019,2019,TV-MA,36 min,Movies
s6023,Movie,6-5=2,Bharat Jain,India,11/1/2017,2014,TV-MA,103 min,"Horror Movies, International Movies, Thrillers"
s4709,Movie,Perdida,Alejandro Montiel,Argentina,8/9/2018,2018,TV-MA,104 min,"Dramas, International Movies, Thrillers"
s8426,Movie,The Model,Mads Matthiesen,Denmark,12/6/2016,2016,TV-MA,104 min,"Dramas, Independent Movies, International Movies"
s836,TV Show,Eden,Not Given,Pakistan,5/27/2021,2021,TV-PG,1 Season,"Anime Series, International TV Shows"
s6363,Movie,Born Strong,"Gary Cohen, Ross Hockrow",United States,12/31/2017,2017,TV-MA,86 min,"Documentaries, Sports Movies"
s1253,Movie,How to Be Really Bad,Marco Petry,Germany,3/1/2021,2018,TV-14,100 min,"Comedies, International Movies"
s4269,Movie,Bird Box,Susanne Bier,United States,12/21/2018,2018,R,124 min,"Dramas, Sci-Fi & Fantasy, Thrillers"
s456,Movie,Emicida: AmarElo - Live in São Paulo,Fred Ouro Preto,Not Given,7/15/2021,2021,TV-MA,100 min,"Documentaries, International Movies, Music & Musicals"
s4684,Movie,Maria Bamford: The Special Special Special,Jordan Brady,United States,8/25/2018,2012,TV-MA,50 min,Stand-Up Comedy
s796,TV Show,Happy Endings,Not Given,United States,6/2/2021,2012,TV-14,3 Seasons,TV Comedies
s8610,TV Show,Towies,Not Given,Pakistan,12/27/2017,2016,TV-MA,1 Season,"International TV Shows, Reality TV"
s8028,Movie,Siren,Gregg Bishop,United States,1/1/2020,2016,TV-MA,83 min,Horror Movies
s1857,Movie,BLACKPINK: Light Up the Sky,Caroline Suh,United States,10/14/2020,2020,TV-14,80 min,"Documentaries, Music & Musicals"
s7340,Movie,Los Niños Héroes de Chapultepec,Ignacio López Escrivá,Not Given,12/15/2017,2017,TV-14,88 min,"Documentaries, International Movies"
s526,TV Show,My Little Pony: Friendship Is Magic,Not Given,United States,7/6/2021,2018,TV-Y,8 Seasons,Kids' TV
s8597,TV Show,Tip the Mouse,Not Given,Germany,9/1/2017,2014,TV-Y,1 Season,Kids' TV
s3512,Movie,Avengement,Jesse V. Johnson,United Kingdom,9/17/2019,2019,TV-MA,88 min,Action & Adventure
s8724,Movie,What Makes a Psychopath?,Rebecca Harrison,United Kingdom,2/1/2019,2017,TV-14,52 min,Documentaries
s7249,Movie,Kygo: Live at the Hollywood Bowl,Devin Chanda,United States,3/12/2018,2017,TV-MA,52 min,Music & Musicals
s2246,TV Show,Dating Around: Brazil,Cassia Dian,Brazil,7/10/2020,2020,TV-14,1 Season,"International TV Shows, Reality TV, Romantic TV Shows"
s6376,Movie,Breath,Simon Baker,Australia,12/5/2018,2018,TV-MA,116 min,"Dramas, Sports Movies"
s3939,TV Show,Our Planet,Alastair Fothergill,United Kingdom,4/5/2019,2019,TV-PG,1 Season,"Docuseries, Science & Nature TV"
s6018,Movie,5 to 7,Victor Levin,United States,3/16/2017,2014,R,97 min,"Comedies, Dramas, Romantic Movies"
s5942,Movie,Being Elmo: A Puppeteer's Journey,Constance Marks,United States,2/21/2012,2011,PG,76 min,Documentaries
s290,TV Show,The Crowned Clown,Not Given,South Korea,8/10/2021,2019,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas"
s1690,Movie,Loving,Jeff Nichols,United Kingdom,11/16/2020,2016,PG-13,124 min,"Dramas, Romantic Movies"
s1481,TV Show,Still Game,Not Given,United Kingdom,12/30/2020,2018,TV-14,9 Seasons,"British TV Shows, Classic & Cult TV, International TV Shows"
s7493,Movie,Monster High: Freaky Fusion,"William Lau, Sylvain Blais",United States,1/30/2018,2014,TV-Y7,74 min,Children & Family Movies
s7989,Movie,Sex Doll,Sylvie Verheyde,United Kingdom,7/10/2017,2016,UR,103 min,"Dramas, International Movies, Romantic Movies"
s2402,TV Show,The Woods,Not Given,Poland,6/12/2020,2020,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas"
s7529,TV Show,Murderous Affairs,Not Given,United States,4/17/2018,2017,TV-MA,3 Seasons,"Crime TV Shows, Docuseries"
s5321,TV Show,Dinotrux,Not Given,United States,8/18/2017,2017,TV-Y7,5 Seasons,Kids' TV
s215,Movie,SAS: Rise of the Black Swan,Magnus Martens,Not Given,8/27/2021,2021,R,124 min,"Action & Adventure, International Movies"
s2346,Movie,Eric Andre: Legalize Everything,Eric Notarnicola,United States,6/23/2020,2020,TV-MA,52 min,Stand-Up Comedy
s1077,Movie,Shiva VS Autobots,Suhas Kadav,India,4/13/2021,2018,TV-Y7,80 min,Children & Family Movies
s2977,TV Show,Unauthorized Living,Not Given,Spain,1/31/2020,2020,TV-MA,2 Seasons,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows"
s5209,TV Show,Haters Back Off,Not Given,United States,10/20/2017,2017,TV-PG,2 Seasons,"TV Comedies, Teen TV Shows"
